VEHICLE
NUMBER     CAPACITY
  50          200

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME
 
    0      70         70          0          0        634          0
    1     107         77         34          0        587         10
    2     109        139          8          0        545         10
    3     120         22         39        124        134         10
    4      48         47         19          0        593         10
    5     116         22         32          0        558         10
    6      12        138         14        285        295         10
    7      86         40         22          0        590         10
    8     121        124         21          0        550         10
    9      61         57         35          0        609         10
   10      40        113         23          0        572         10
   11     129         24         18          0        550         10
   12      12         84         16          0        565         10
   13      44        116         27          0        572         10
   14     102         52         15          0        588         10
   15      41         36         13         61         71         10
   16     132        133         24          0        536         10
   17     104        139         29          0        548         10
   18     104         54         13          0        587         10
   19      22        104         11          0        566         10
   20      46        133          7          0        557         10
   21     138         78         43          0        556         10
   22      16         92         10          0        566         10
   23      18        104         18        347        357         10
   24      66         82         27          0        612         10
   25     107         25         13          0        566         10
   26     139         73         10          0        555         10
   27     101          0          9          0        548         10
   28      90         14         31          0        565         10
   29      20         69         13        388        398         10
   30      64        132          8         67         77         10
